beat,stage,boundary,res0r,res0i,res1r,res1i
40,6,upper,x,x,x,x
40,6,lower,x,x,x,x
40,7,upper,x,x,x,x
40,7,lower,x,x,x,x
40,8,upper,x,x,x,x
40,8,lower,x,x,x,x
41,1,upper,x,x,x,x
41,1,lower,x,x,x,x
41,2,upper,x,x,x,x
41,2,lower,x,x,x,x
41,3,upper,x,x,x,x
41,3,lower,x,x,x,x
41,4,upper,x,x,x,x
41,4,lower,x,x,x,x
41,5,upper,x,x,x,x
41,5,lower,x,x,x,x
41,6,upper,x,x,x,x
41,6,lower,x,x,x,x
41,7,upper,x,x,x,x
41,7,lower,x,x,x,x
41,8,upper,x,x,x,x
41,8,lower,x,x,x,x
42,1,upper,x,x,x,x
42,1,lower,x,x,x,x
42,2,upper,x,x,x,x
42,2,lower,x,x,x,x
42,3,upper,x,x,x,x
42,3,lower,x,x,x,x
42,4,upper,x,x,x,x
42,4,lower,x,x,x,x
42,5,upper,x,x,x,x
42,5,lower,x,x,x,x
42,6,upper,x,x,x,x
42,6,lower,x,x,x,x
42,7,upper,x,x,x,x
42,7,lower,x,x,x,x
42,8,upper,x,x,x,x
42,8,lower,x,x,x,x
43,1,upper,x,x,x,x
43,1,lower,x,x,x,x
43,2,upper,x,x,x,x
43,2,lower,x,x,x,x
43,3,upper,x,x,x,x
43,3,lower,x,x,x,x
43,4,upper,x,x,x,x
43,4,lower,x,x,x,x
43,5,upper,x,x,x,x
43,5,lower,x,x,x,x
43,6,upper,x,x,x,x
43,6,lower,x,x,x,x
43,7,upper,x,x,x,x
43,7,lower,x,x,x,x
43,8,upper,x,x,x,x
43,8,lower,x,x,x,x
44,1,upper,x,x,x,x
44,1,lower,x,x,x,x
44,2,upper,x,x,x,x
44,2,lower,x,x,x,x
44,3,upper,x,x,x,x
44,3,lower,x,x,x,x
44,4,upper,x,x,x,x
44,4,lower,x,x,x,x
44,5,upper,x,x,x,x
44,5,lower,x,x,x,x
44,6,upper,x,x,x,x
44,6,lower,x,x,x,x
44,7,upper,x,x,x,x
44,7,lower,x,x,x,x
44,8,upper,x,x,x,x
44,8,lower,x,x,x,x
45,1,upper,x,x,x,x
45,1,lower,x,x,x,x
45,2,upper,x,x,x,x
45,2,lower,x,x,x,x
45,3,upper,x,x,x,x
45,3,lower,x,x,x,x
45,4,upper,x,x,x,x
45,4,lower,x,x,x,x
45,5,upper,x,x,x,x
45,5,lower,x,x,x,x
45,6,upper,x,x,x,x
45,6,lower,x,x,x,x
45,7,upper,x,x,x,x
45,7,lower,x,x,x,x
45,8,upper,x,x,x,x
45,8,lower,x,x,x,x
46,1,upper,x,x,x,x
46,1,lower,x,x,x,x
46,2,upper,x,x,x,x
46,2,lower,x,x,x,x
46,3,upper,x,x,x,x
46,3,lower,x,x,x,x
46,4,upper,x,x,x,x
46,4,lower,x,x,x,x
46,5,upper,x,x,x,x
46,5,lower,x,x,x,x
46,6,upper,x,x,x,x
46,6,lower,x,x,x,x
46,7,upper,x,x,x,x
46,7,lower,x,x,x,x
46,8,upper,x,x,x,x
46,8,lower,x,x,x,x
47,1,upper,x,x,x,x
47,1,lower,x,x,x,x
47,2,upper,x,x,x,x
47,2,lower,x,x,x,x
47,3,upper,x,x,x,x
47,3,lower,x,x,x,x
47,4,upper,x,x,x,x
47,4,lower,x,x,x,x
47,5,upper,x,x,x,x
47,5,lower,x,x,x,x
47,6,upper,x,x,x,x
47,6,lower,x,x,x,x
47,7,upper,x,x,x,x
47,7,lower,x,x,x,x
47,8,upper,x,x,x,x
47,8,lower,x,x,x,x
48,1,upper,x,x,x,x
48,1,lower,x,x,x,x
48,2,upper,x,x,x,x
48,2,lower,x,x,x,x
48,3,upper,x,x,x,x
48,3,lower,x,x,x,x
48,4,upper,x,x,x,x
48,4,lower,x,x,x,x
48,5,upper,x,x,x,x
48,5,lower,x,x,x,x
48,6,upper,x,x,x,x
48,6,lower,x,x,x,x
48,7,upper,x,x,x,x
48,7,lower,x,x,x,x
48,8,upper,x,x,x,x
48,8,lower,x,x,x,x
49,1,upper,x,x,x,x
49,1,lower,x,x,x,x
49,2,upper,x,x,x,x
49,2,lower,x,x,x,x
49,3,upper,x,x,x,x
49,3,lower,x,x,x,x
49,4,upper,x,x,x,x
