unit_id,hier_cell,ref_name,loc,bel,site,tile,grid_x,grid_y,stage_id,module_role,data_role,ecc_codeword_rule,ecc_symbol_rule,is_used,is_shared
111802,u/s7/u_apply/d0i[11]_INST_0_i_10,LUT1,SLICE_X55Y273,SLICEL.A6LUT,SLICE_X55Y273,CLBLM_R_X37Y273,159,546,,,,,,1,0
111803,u/s7/u_apply/d0i[11]_INST_0_i_2,LUT6,SLICE_X59Y273,SLICEL.D6LUT,SLICE_X59Y273,CLBLM_L_X40Y273,171,546,,,,,,1,0
111804,u/s7/u_apply/d0i[11]_INST_0_i_3,LUT6,SLICE_X59Y273,SLICEL.C6LUT,SLICE_X59Y273,CLBLM_L_X40Y273,171,546,,,,,,1,0
111805,u/s7/u_apply/d0i[11]_INST_0_i_4,LUT6,SLICE_X59Y273,SLICEL.B6LUT,SLICE_X59Y273,CLBLM_L_X40Y273,171,546,,,,,,1,0
111806,u/s7/u_apply/d0i[11]_INST_0_i_5,LUT6,SLICE_X59Y273,SLICEL.A6LUT,SLICE_X59Y273,CLBLM_L_X40Y273,171,546,,,,,,1,0
111807,u/s7/u_apply/d0i[11]_INST_0_i_6,CARRY4,SLICE_X55Y273,SLICEL.CARRY4,SLICE_X55Y273,CLBLM_R_X37Y273,159,546,,,,,,1,0
111808,u/s7/u_apply/d0i[11]_INST_0_i_7,LUT1,SLICE_X55Y273,SLICEL.D6LUT,SLICE_X55Y273,CLBLM_R_X37Y273,159,546,,,,,,1,0
111809,u/s7/u_apply/d0i[11]_INST_0_i_8,LUT1,SLICE_X55Y273,SLICEL.C6LUT,SLICE_X55Y273,CLBLM_R_X37Y273,159,546,,,,,,1,0
111810,u/s7/u_apply/d0i[11]_INST_0_i_9,LUT1,SLICE_X55Y273,SLICEL.B6LUT,SLICE_X55Y273,CLBLM_R_X37Y273,159,546,,,,,,1,0
111811,u/s7/u_apply/d0i[12]_INST_0,LUT5,SLICE_X63Y275,SLICEL.A6LUT,SLICE_X63Y275,CLBLM_R_X43Y275,183,550,,,,,,1,0
111812,u/s7/u_apply/d0i[13]_INST_0,LUT5,SLICE_X61Y275,SLICEL.A6LUT,SLICE_X61Y275,CLBLM_L_X42Y275,179,550,,,,,,1,0
111813,u/s7/u_apply/d0i[14]_INST_0,LUT5,SLICE_X61Y274,SLICEL.A6LUT,SLICE_X61Y274,CLBLM_L_X42Y274,179,548,,,,,,1,0
111814,u/s7/u_apply/d0i[15]_INST_0,LUT5,SLICE_X61Y274,SLICEL.B6LUT,SLICE_X61Y274,CLBLM_L_X42Y274,179,548,,,,,,1,0
111815,u/s7/u_apply/d0i[15]_INST_0_i_1,CARRY4,SLICE_X59Y274,SLICEL.CARRY4,SLICE_X59Y274,CLBLM_L_X40Y274,171,548,,,,,,1,0
111816,u/s7/u_apply/d0i[15]_INST_0_i_10,LUT1,SLICE_X55Y274,SLICEL.A6LUT,SLICE_X55Y274,CLBLM_R_X37Y274,159,548,,,,,,1,0
111817,u/s7/u_apply/d0i[15]_INST_0_i_2,LUT6,SLICE_X59Y274,SLICEL.D6LUT,SLICE_X59Y274,CLBLM_L_X40Y274,171,548,,,,,,1,0
111818,u/s7/u_apply/d0i[15]_INST_0_i_3,LUT6,SLICE_X59Y274,SLICEL.C6LUT,SLICE_X59Y274,CLBLM_L_X40Y274,171,548,,,,,,1,0
111819,u/s7/u_apply/d0i[15]_INST_0_i_4,LUT6,SLICE_X59Y274,SLICEL.B6LUT,SLICE_X59Y274,CLBLM_L_X40Y274,171,548,,,,,,1,0
111820,u/s7/u_apply/d0i[15]_INST_0_i_5,LUT6,SLICE_X59Y274,SLICEL.A6LUT,SLICE_X59Y274,CLBLM_L_X40Y274,171,548,,,,,,1,0
111821,u/s7/u_apply/d0i[15]_INST_0_i_6,CARRY4,SLICE_X55Y274,SLICEL.CARRY4,SLICE_X55Y274,CLBLM_R_X37Y274,159,548,,,,,,1,0
111822,u/s7/u_apply/d0i[15]_INST_0_i_7,LUT1,SLICE_X55Y274,SLICEL.D6LUT,SLICE_X55Y274,CLBLM_R_X37Y274,159,548,,,,,,1,0
111823,u/s7/u_apply/d0i[15]_INST_0_i_8,LUT1,SLICE_X55Y274,SLICEL.C6LUT,SLICE_X55Y274,CLBLM_R_X37Y274,159,548,,,,,,1,0
111824,u/s7/u_apply/d0i[15]_INST_0_i_9,LUT1,SLICE_X55Y274,SLICEL.B6LUT,SLICE_X55Y274,CLBLM_R_X37Y274,159,548,,,,,,1,0
111825,u/s7/u_apply/d0i[16]_INST_0,LUT5,SLICE_X61Y275,SLICEL.B6LUT,SLICE_X61Y275,CLBLM_L_X42Y275,179,550,,,,,,1,0
111826,u/s7/u_apply/d0i[17]_INST_0,LUT5,SLICE_X62Y275,SLICEM.A6LUT,SLICE_X62Y275,CLBLM_R_X43Y275,181,550,,,,,,1,0
111827,u/s7/u_apply/d0i[18]_INST_0,LUT5,SLICE_X61Y275,SLICEL.C6LUT,SLICE_X61Y275,CLBLM_L_X42Y275,179,550,,,,,,1,0
